sentiment,content
sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
happiness,I'm off to Costco in a bit to print off more photos for my photobook
happiness,@MikeyConner Hey I bought that Porter Cable 4-piece set.  My new drill has an LED light near the trigger.  Oh I'm so happy.
happiness,@mateoonline I'm sure u did!!! CAN'T w8 4 2morrows shw!!! Happy Mommys day 2 me!!!
happiness,@jeseekuhluv Yea I think I waited to long. oh well. thats cool. I should have signed up for more but I'm already done with core classes
sadness,@brianna_love aw i'm not goanna get to see you tonight   cos i have to leave tot's early to go to missy's bday party. pullin a double haha
happiness,@GGEastLDN im cool  cant wait to hear these stories xoxo
sadness,"in school, wants to read Eclipse, 200-and-some-60 pages read"
sadness,i miss rich
happiness,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol"
happiness,got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material.
sadness,@danger_skies miss you too :'( it is!i never want to come home.....seriously
sadness,OMG. Period cramps are FTL. So much pain.
happiness,@jnacool I dont understand sensex..but wow!
happiness,I love how when I leave my laptop on my bed it creates a nice toasty spot
happiness,@DebbieFletcher Happy Mothers Day! i hope tom got you something special! enjoy day!  xo
happiness,@VengeanceChrist hey girl i just sent ya a message on Myspace
happiness,@jeffpulver Done some book signings in Manchester. Nice people up there. Enjoy the week.
happiness,Hallooo bayern!hallooo stau!
sadness,"(cont.) Small children are not puppies. And cleche sarcasm is so annoying. Bcreative, but then again, that's too harrd"
sadness,getting ready to drop off something to my man so he can hang out with a friend instead of me
sadness,"@JonathanRKnight G'night Jonathan! I tried to stay up, I really did. I can't wait till ur in my timezone! Will be so much easier then!"
happiness,last drops of the thesis... God let it end today.
happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
sadness,why doesnt he want me anymore
sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
sadness,@apostropheme i'm a real BOY goddamit!!!!!!!!!!!!!! guh. apostro. i feel sad. the library lady thinks i'm stupid. SHE'S STUPID.  j
sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
happiness,I just wanna be better already
sadness,oowww...why do wisdom teeth hurt so much
sadness,"Wow, my bed is SO comfy &amp; my nap has been much too short. Getting up for work = do not want."
happiness,"@Linooo Ahhh!  I knowww! I saw it May 5th and 6th in Newcastle and it was so good!!! I'm soo excited for 6th June, as its my bday aswell!"
sadness,"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!"
happiness,"@yuniphan Yay! Congratulations, oh newly minted graduate. You'll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!"
happiness,@thatswhack74 aww that's sweet! i made a home made card and i wrote her a song...   it wasn't that much but oh well..
happiness,@goodlaura  *waves to make it all OK again*
happiness,@Sam_Ho Naw; it was before the 15 mins bug (where tanks would stop spawning after 15 mins)  I'm glad I get to keep it
happiness,@williambeekhuis hahahaha where is that train? I want on! That should be a wild ride
sadness,Now I'm depressed again..ugh!!! HELP!!!
sadness,"it's raining here  i'm stuck inside working today so i'd probably be peed off if it was sunny outside, i'm now ok with the rain"
sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
happiness,@NikkiBons Happy Birthday Dork!! Lots of love for you today!!!  I wish I was there so I could buy you a drink   Make it a great night!
sadness,"Last day working for the Uni today, sad times"
sadness,Man it's two o clock 2 more hrs till I have to be at work
sadness,Is going to get a full nights sleep tonight so her arm can get better. It's no fun being forced to use your left hand
happiness,Good Morning and Happy Mothers Day everyone
sadness,Heading to work - on my Friday off.
sadness,"@AliceS1 hey, I can't make it to Makers tonight"
sadness,@SOREALCRU its Gloomy in LA no sun  but its nice
sadness,@nicolepenney That sucks! I'm going to be doing summer school.  Need to catch up on several units
happiness,My laptop grew speakers. Now I can watch Charlie with the sound on
happiness,@FONEJACKER12009 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day xxx
sadness,"Just changed my car tires, cost me a bomb."
happiness,"@laermer yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously"
happiness,ah what a lovely day for a bike ride and cake making  *is rooting 4 those who are revising!* do your best! X
sadness,I know I shouldn't be saying this but fuck it..I'm horny as hell  http://twurl.nl/8q6cjc
happiness,@conorp YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?
happiness,"@cowpunkmom Sweet deal! I so want to see that movie! Methinks we may have to do a Star Trek movie night some time, hmm?"
sadness,Waking up at unGodly hours to go to work is starting to get old. At least the coffee is good
sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
sadness,Going to have yum dinner then watch 'bad girlfriend' play. I have a 6am call time tomorrow
happiness,is rockin' a minivan til the STi is ready. I miss it already
happiness,had delicious pav + bhaaji + finely chopped onion + little dash of lemon  Yummy!
sadness,"@dj_cm  Didn't drink enough for a hangover, just tired and over worked"
sadness,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked"
sadness,No more Wiffleball..  Damn.
sadness,@lowestformofwit
happiness,I have Vampire Knight  music!!!  I feel very special..
sadness,@Maxicatimus Miles from you   I'm in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.
sadness,Upsidedown tomato plants died!
sadness,@charlieks @tonita_face @emmaleeks and nana.wish i was there last night
sadness,SHIT I lost my Star Trek ring!    Starfleet Academy class ring w/ Golden Gate Bridge on it.  Got it as high school graduation present.
happiness,"@michaelmagical #warmfuzzies to you, my friend"
happiness,@celia_brads i've finished  lol
happiness,Exploring Twitter's world! me 2
happiness,"@Sweetnote Smooches to you as well, have a great day!"
sadness,"just played like, 5 games of dota hahaha. I wanna go home"
happiness,@kusuma06 aaa new follower! hiii
happiness,going to sleep. big beach day tommorow. love you guys. nite.
sadness,"for all the effort and time put into some of these relationships with people, you learn enough not to trust anyone..."
happiness,haciendo mi primer app con Thin + Rack + some crazy stuff...
sadness,about to start work and missing him like crazy.I wont be seeing him till Tuesday
sadness,Oww. Can't even describe how much my back hurts. Going to have to go to the stupid doctor.
sadness,@gotenkslovesme haha yeh lol maybe.  i missed the last roadshow cause of rain
sadness,@oliviamunn that was pretty lame babe
sadness,Getting my hair done...missing him
happiness,@CHRISDJMOYLES Get you lol what time we eating id hate to be late
happiness,@BaybeehDoll No u miss me !!!!! LOL
sadness,@BK_II I have no choice  have to get on it!
sadness,"@wynstonfernando i have to take 1 class in fall  , its cool though.. im okay with that"
happiness,Listening to Weightless by All Time Low. Thanks to @Katarinahj for making me listening to it!
sadness,Sickkkk  ....and I need 11/20--NOW.
happiness,"My industrial is repierced, and I made a cute little friend"
happiness,"@PoisonIvy69 Fine thanks, not long now till Christmas....I'm excited"
sadness,@scouserach Not today Rach
happiness,"Off to the Dream World to battle the evil Spork Horde.  Later, folks."
happiness,@meeshthebeast me and dee mack talking about your baby!  She's almost all grown up!
sadness,can't go to the movies today
happiness,I FOUND A PROM DRESS
happiness,Had a great night! Tomorrow is mothers day
sadness,"Tbh having no credit in your phone sux. i cant even text people to see what's happening, like its totally grrrsville"
happiness,Joining twitter! Just added a random person
sadness,is sick!!!! and just chilling tonight watching Desperate Housewives
happiness,@KarolinePaixao EPIC moment! hahahha i swear.. i really wanna see it
sadness,"@DesignerDepot thanks for adding, no befriending, no, uh oh never mind, Thanks!"
happiness,sooo pleased the sun is shining today! garden here I come
happiness,Restoring new iTouch 2.  Excited to use it. Yeeeeeeeee. Goodbye iTouch 1.
happiness,Thank you for the advice   I'll work on that when Im not at work.
sadness,@agentwill I didn't want to tell you but I think it's your body odour
happiness,@rainstopper have a lok at EF too! they are jummy
happiness,"@darklord1  Ohh what fun! A night at Slimes, I miss that place!"
sadness,i have runny nose... i can't breathe.. terrible feeling...
happiness,"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!"
happiness,"@JaimeMcKnight YAY!!!!   I have Mark issues, too...you'll find I have A LOT of issues.   lmao"
happiness,i've heard Basment Jaxx's new song &quot;Raindrops&quot;...that's fantastic!!! and makes me dancing  i can't wait Fuji Rock Festival...
sadness,@SummerXoxo That's exactly how I feel.  I hope you start feeling better soon.
happiness,"BBQ with Andrew, his sisters, and Jeff.  So much fun!"
happiness,"Fantastic weekend - hairdressers, stylish luncheons &amp; a Fabulous girlie night with wine, cheeses &amp; chocolates...And dancing till morning"
sadness,"@DonniesGirl69  Yes,... I blame you all"
happiness,@owenong looks good ... making me hungry but boy stll asleep
sadness,"@lil_kimmeh Me too, I miss it.  I, however, will #humpthestump for the rest of my life."
happiness,"@penpen72 Haha, true  thankfully the regular keyboard does the job... most of the time."
happiness,@jpblogger Nothing like &quot;RocknRolla&quot; which is another good film with rock in the title
sadness,whenever it rains it's so hard to get motivated
happiness,@tiny1877 Oh no! I guess I'm officially a big nerd now. I heard the movie is great even if you don't like Trek... and I do
sadness,@ohcherub  Yeah I know what you mwan.
happiness,I'm still at the mothers day lunch at my uncles house. Having a nice time!
sadness,Awww I wonder when ima get married. Shawna and Damon are so cute
sadness,@courtpet oh sweet! I'll definitely check it out when I get the chance...
sadness,"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking"
happiness,out for supper tonight with kurumi in 10 minutes
happiness,"@uhandbag I will  I enjoyed doing the peg bags, I've adapted the design for a tote bag  Bit cuter than I normally do"
happiness,on my way homee  i love long car rides&lt;3
happiness,@Lindsayslifee they look nice atleast  haha. &lt;3
sadness,@danisometimes  sadness. you could hang out with me and feel less apathetic.
sadness,Finally going to bed after staying up reading the script for &quot;Remember Me.&quot; So sad but sooo good! Happy Mother's Day to all the Mother's!
happiness,work  @britad Yay!
sadness,My birthday is now over.
happiness,"Headed out at 6 today, shopped for Mother's Day gifts. I love B&amp;BWs new scents ? AND finished my book I bought yesterday."
happiness,@mrstreme Thanks so much! I will be back on tour soon. Two new books in the pipeline!
happiness,Happy mother's day and to the god mother's and step mother's too....
sadness,feels sick to my stomach and idkk whyy
happiness,@Pink congradts on ur show  Even tho i wasnt there lol
sadness,@thodwris RIP Michael
happiness,@scottrmcgrew *dancing pirouette ballerina HUGS*  Morning my Awesome brudder!
sadness,@wethehunter there is no sun here in florida..it's all rainy and cloudy.
sadness,So screwed for sat 2 us
happiness,@natsnapper Thanks   Our little girl just loves animals so all the 'oohs' and 'aahs' were very cute!
happiness,@filthydukes _yeah thanks for that you pair of gits  (hope it's mega- like the bus!)
happiness,@jomanlk I am trying my best to make my own luck
sadness,"OMG, time to sleep, today was an horror, i really hope best weekends *---*..Goodnight buddies"
happiness,"@AmberCadabra Wow, I haven't watched that movie in ages. It is quite fantastic."
sadness,How could they kill him? Hollyoaks made me sad.
sadness,Bless the little girl on BGT!
sadness,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
sadness,@emulley I missed you today...I know you must feel very tired. I will give you a massage tonight
happiness,just watched yes man. bahaha. that movie is messed up
sadness,I'm so down again.  I wish I could share my problems with someone...
sadness,Mrs.Bates left
happiness,Goodnight everyone  Happy Mothers Day to all of the mothers out there
sadness,@LolzyluvsJB Neither could i! And i looked on ebay and it was like 250 euro for two!!!! but i doubt my parents would fork that amount out
happiness,The sun is shining  Have a great day
happiness,Happy Mothers Day to all of the moms out there
sadness,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
happiness,@onti1 have fun tonight
happiness,4 hours of shopping over... good effort. Best part = chocolate shop.... YUJM!!!... yum even
sadness,@xnicoleex_ yeah sorry i was busy last night  ill try and go next week!
happiness,"@gemstwin Granny, Linda will be happy."
happiness,Still working in the database and trying to decide what I want to eat.
happiness,@dannywood lol good morning!  Ran 4 milles &amp; hit the gym?  Have a great day!!!
sadness,has hurt feet
happiness,ok peeps have good morning I'm going to bed   @ClickedApps hit me up later
happiness,"Finishing this giraffe, then getting some sleep. Super excited about tomorrow!"
sadness,"...return my joy cos I'm so  Tired, tired of me Inspire the weary eyed to see the Ire and Irony..."
sadness,spent all morning watching Eddie Izzard's Glorious! SO funny... realli shud hav studied thou...
sadness,Listing to a sad song  so i am sad too
sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
sadness,@chantalclaret D; You get hate tweets  that's sasd.
sadness,bored well its not like any one can see this i havent got any friends
happiness,"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O"
happiness,"@journo_at_work agree totally, think though if we can take a point off Everton and Liverpool beat Man City we are happy days"
happiness,trying this out with my sweet lil iPod... I am totally nerding out. and... totally ok with it
sadness,@stereophonics http://twitpic.com/6714p - well done guys! I am gonna miss the tweets!
happiness,@lizziechristine Thank you so much  Miss you toooo!
happiness,2 days till birthday! I just hope the weathers good!! And it best be good on thursday and friday! Otherwise il scream! happy b'day keiron
sadness,"@allysonbrianna Well, yeah. But my mom doesn't wanna drive all the way to Sac if we were that far away."
happiness,"Celebrated 18,000 plays on Last.fm with Dez Moines by #tdwp http://bit.ly/GWUHX"
sadness,everything is going wrong in my &quot; happy day&quot;
sadness,@fudgecrumpet saw the deforestation.so not surprised of bad back but @mrsfudgecrumpet moan back at you.lol
sadness,going to sleep now...5/10/09 &gt; Happy Mother's Day...&amp;...Happy Birthday to ME!!!
happiness,"@under_control aw babyy i'm sorry  i gots too excited, haha. &lt;333"
sadness,@iamdiddy it is so sad that me and my roommate fry chicken just about every night @ 330 4. We just finished tonight's batch
happiness,"@rkuang i know, right? i'm super-excited - i told y'all this is the busiest time of year for me"
sadness,tummy ache.
happiness,"@howie_d  I'm really happy for u n leigh  thnx for sharing this happiness with us, this means the world to us all!  love ya! Marta"
happiness,I'M FEELING GREAT!
sadness,@adriandanganan CLAY AIKEN? GET ME AN AUTOGRAPH!
sadness,UGG WANT TO GO TO KAYLEN HOUSE BUT I CANT FINNA BE BORED THIS WEEKEND!!! UUURGG WANNA SPEND DA NITE  AND GO SEE UP AND GO SHOPPING
sadness,@kattekrab No tango icons in this revision.
happiness,@maliamorgan Thanks for following!
happiness,"@bunnymousekitt hahaha, yes, our discussions always seem to jump around randomly"
happiness,"@ChicagoGirl Gotcha.  My place is Atlantic side.  Better for surfing   Plus I like to be close to the crazy foreign restaurants. Mmm, FL."
happiness,just got eminem tix for friday
happiness,@solkana I want to see &quot;Too Fast to Transport in 60 seconds&quot;
happiness,@archiedineros Yup I stayed until the very very end  Exciting!
happiness,@LEGmin http://twitpic.com/4jaz5 - Cool... luv it
happiness,@ppittman you are not old!!! You're  just comfy! Like worn in sweats! Said with all the love my sarcastic heart can muster....
sadness,"home, don't feel like going to work tomorrow"
happiness,"Hanging with my BFF @JasmineWHO today! Ya Ya! @amandababby Our old friend is in my prayers, I hope this experience helps her"
happiness,so bryan was at the sweet 15 and i didnt think we were gonna talk but towards the end of the night we talked
sadness,Crisis: forgot my fringe comb  I'm with men....no one will help me
happiness,@_Stephhh_ Awww  I heard he is the sweetest guy with fans.
sadness,"@naontiotami No, but I missed you"
sadness,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
happiness,Feeling really good about my performance on the AP Government &amp; Politics exam this morning.  Going to lunch with Krista.
happiness,"@trekkerguy Yeah, I have seen the reviews and they are great! It is just that the reviews surprised me. Now getting tickets for tonight"
sadness,It's Going To Be A Busy Day  And That Sucks Cause I Wanted To Spend Time With Someone Earlier Today
sadness,Hmmm... he's so lovely. I wish he was here now. I'm tired but can't sleep
sadness,Well it's official I have strep
sadness,"@arnteriksen I'm having exactly the same day you are, man. Just buried over here  #FollowFriday"
happiness,Happy Star Wars day!!  unbelievable
sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
sadness,@BuffaloLass87 I'm so sorry  do you want me to call? If not I will be on aim in a couple of hours if you need to vent
happiness,so I just had a violent fightclub like sex dream involving heavily tattooed ladies. I didn't wanna wake up.  lol.
sadness,"@lbutterworth I know, twitter is depressing me tonight"
sadness,"The Killers are coming to TD Banknorth in Boston on 9/4 at 7:30pm. And, I can't go.   Everyone else should go though! Tickets on sale Sat."
happiness,@clockworkmelt LOL I feel like drunk right now...
sadness,@1outside a jo; tak nic no
sadness,@godfatherobie  I'm @ work and missed everythin yesterday but don't know wot? Anybody
happiness,My birthday is a week from today!
happiness,"In bed eating chocolates after 2 super parties, yay  playing with the new camera - could I be an amazing photographer?"
happiness,@DVNT Cheers. Wish I had more fonts to play with
sadness,Sounds like there's a party up the street.  I guess they forgot to invite me
happiness,"Played some Mythic Brawl in order to get a good screenshot. Instead, I got a Perfection!"
happiness,"had cold rock, choc mint+bubblegum+cookie+flake+nerds= YUM!!!! XD .  had a fun day."
happiness,done with the photo album  as im a good person so i make it quite private for now. pity you ben haha
sadness,None of the people I talk to in my P.E. class are here  I'm going to be so bored all period.
sadness,@heavenlyriot Girls are confusing.
sadness,"Bad day, just got worse..."
sadness,@nataliejanette Im so jealous that Im not going to blogher
happiness,This is Really Cool put in a topic and its a twitter show...If your a tweeter twittering twit u got to luv this http://bit.ly/a0nw
happiness,@chromasia I saw your tweet minutes before going to lunch.  Decided to skip that today. Thanks for saving me the money  Speedy recovery!
happiness,http://twitpic.com/4qfl3 - haha^^ I love it
sadness,Bah day is not ending as nicely as it began
sadness,"My head is starting to ache again, and I have to reinstall operating systems on 31 computers."
sadness,"@JoelMadden I applaud you for accepting gay marriage, I have rels that are born again that hate me for it."
happiness,"@aligomm wow! How cool is that! or was I guess, I have 18 now  haha get another follower!"
happiness,Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn't
happiness,watched sex &amp; the city season 1 &amp; drank a little wine w/ my date...just ended w/ a goodnight kiss. i could get used 2 this  night night!
sadness,They are out of ice cream at the Crazy Mocha in SS. This means no Espresso Milkshake..
sadness,ok shopping was far too fun ~ unpacking the bags now
happiness,wants to welcome @melizadeleon: back to Plurk again!  http://plurk.com/p/rp5po
happiness,Just picked up my copies of the printed brochures I did for the BWRC. So excited
sadness,@sophhs cool. I'm tempted too see it again  I feel sorry for JB though because there were hardly any people
sadness,*sigh* Last day at work. I has an sadifying in my heartparts.
happiness,I love my job. getting some REAL sleep. Icing the birthday cake in the morning!
sadness,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
sadness,thinking about life and my dreams. why does it seem so appealing to give up?  im so jealous of every band/artist who is living theirs out
happiness,Happy Star Wars day!
sadness,"The internet is just being a big fail for me today-- not only is Twitter its usual semi-flaky self, but Facebook and VRBO.com, too  Boo!"
sadness,"@DaveWares working, my 4-day weekend is over, aah well another one coming in 2 weeks"
sadness,Ugh soooo much work to do today while trying to make the 6:10 train to the game... looking like a 4-5 hour Sunday at the office.
happiness,Star Trek in HD.... I'm impressed.... Beam me up Spotty!
happiness,@shakeitblueyes good
sadness,"Also, WHERE IS MY TOY STORY 3 TEASER CARMIKE 14? YOU SAID THERE WOULD BE TOY STORY 3!  Movie theater fail"
happiness,@SamBennington  cool  you are here too  hi sam  how are you???
happiness,"@mandydean thanks, Mandy!  What a good sister you are. @krikkert That may be true, but unfortunately my road tires can't say the same."
sadness,"Finally the school day ended, Friday Friday Friday w00t! But it's raining outside."
happiness,@PrinceJamir thanks for the follow bro!
sadness,@bimbler I have too much work to drink now.   but I do love afternoons in the pub.
happiness,wanna see JB 3D Movie Experience again   ... I wanna &quot;touch&quot; Joe again hehehe
sadness,@pinksealight oh lucky u!! i need to send mines away to get fixed
happiness,@serenajwilliams Hi Serena just want to say good luck in Madrid and Paris this month
sadness,"Oops, forgot we are having a barbecue at work today! I didn't need to pack a lunch after all"
sadness,i've got nothing witty to tweet
happiness,jb are so cute!  lmfao -giggles-
happiness,3oh!3 on the radio  they were amazing yesterday.
sadness,Heeder's again and on Monday as well... absolutely no plans for the weekend
sadness,Looking for a special girl  im fed up of bein hurt
happiness,@goldenboyluke  be sure to go by my blog today    -  and check out your friends - I bet you have some new ones today!
happiness,enjoy the laker game for me guys! since i'll be at work
happiness,Excited for Rove tonight! Jennifer Garner and Gina Riley!
happiness,"@tenotch awesome, I'm glad you like it.  FYI - Platinum Notes 3.0 should be out as a free upgrade this summer"
sadness,I'm so sleep deprived but it's to hot to sleep.
sadness,"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)&lt;3 In addition,gray matters is one of the cutest movies ever!!"
sadness,i got ill and tomorrow iï¿½ve got birthday...
happiness,@allicandy95 testing.... Hey! I gotta add you as someone to follow
sadness,My stomach effing hurts. Sadly there'll be no gym class this afternoon
happiness,Had a great weekend with John-back to work for 3 days then going to Illinois on Thurs &amp; Fri for more Gigs with John
happiness,@LeEyecandy hahaha. I think you're pretty far from me. Maybe next time though
sadness,"@LinkedInBrian Unfortunately, I will be nowhere near the beach. I have fam in that area, too."
happiness,"@JasonBradbury nice on the jet ski testing! Hope the book is going well. Cheers for adding me, got twitter after watching the gadget show"
sadness,LivingHandy.de 2.0 - stay tuned  - http://www.LivingHandy.de/
sadness,is a bad friend
sadness,wants to hear his voice
happiness,is spending time with her mommy later today!
happiness,@jrathburn Good mornin' Jason! Ready for a fresh new week as well!
sadness,"Oh PW, you done me wrong. The signing time in ur children's article are all wrong...and no Neil Gaiman?! You tease me.  #bea"
happiness,@MrsPinkyIvory Hey Pinky I ordered some stuff from that site you gave me. I got it yesterday in the mail so pretty  thanks
happiness,@kayemeff its almost your birthday!!
happiness,I just got home.  i bought twiggies and a toothbrush that promises to make my teeth 60% cleaner. - http://tweet.sg
sadness,"Best day at work, best weekend ahead. Hopefully I will have someone to go to USC with..."
sadness,so freaking tired.  It's like my body refuses to move.
sadness,@CreationsWHeart Ive been wanting 2 but will be gone 4 2 mo. &amp; have to close my shops!
happiness,"@kristenstewart9 WOW, I can't believe u reached the Facebook limit for # of friends! Crazy!!"
sadness,@Itxi_Itx no credits for me unfortunately!
happiness,@Danacea Happy Star Wars Day!!!
sadness,"I feel like drinking wine, but I don't have any."
happiness,"Last day of holydays, gotta get back to work    Anyway, 2 great weeks"
sadness,Last night I had 1/2 a bottle of wine in my house and 2 cocktails. Came home sober but still gonna be sick
happiness,had an okay day. but hanging out with brianna and saelina was good
happiness,Definitely need to work out after this business trip- too much free food and alcohol. I'm sure I've gained a few pounds.
happiness,Headed up to WMC for the day. Hopefully I'll have enough time to swing by Chinatown on the way home. I'm in the mood for duck!
sadness,"@AnnieAreYouOhK No, it's annoying and makes us girls that follow sports and are knowledgable look dumb"
happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx
sadness,i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. &gt;=[ sighhh.  in other news: breakfast time!!!!
sadness,i need to speak with @sofiedeville! but i left my phone at home
sadness,Gonna miss my gurl while shes on her honeymoon
sadness,"i know i told him i didnt want him to stay home with me but i lied, i really did want him to stay home with me"
sadness,@omgamandanicole i dedicated that song to my VW when i sold it
happiness,"wooo am recovering from running race for life yest!!! i managed 36 mins 44secs, not bad for absolutley no trianing"
happiness,"@gfalcone601 def cheese and onion  however after being back in the states for 4 months, finding a bag of salt&amp;vinegar...they tasted GREAT!"
happiness,@leahita Your sweetie is very lucky too!  #liberty
sadness,@msalonen I feel like a Truck just hit me too! I also Resemble a man hit by a truck!
happiness,"@tyleigh Thanks! Hope you find a job soon!...OH, almost forgot: I landed a role in an indie flick!  My first audition ever lol."
happiness,"@Clarrisani Thank you for approving my application at the TWA Forum, honey. Keep up the good work"
sadness,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!
sadness,this phyllis hyman unsung story is so SAD
sadness,Im wishing that i had the weekend off so i can go to SOL.
happiness,Women in Science &amp; Technology conference in La Jolla - what an interesting day!  Met some really great people!
sadness,It SUCKS when my playmate is MIA all weekend.  Sad
happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
happiness,At walmart playing hide and seek.
sadness,Aaahhhh poor Chops the pig !!!
sadness,"@gleeding Need a tickettttt  Gah. Ya you've got me on there, reason346.. Haven't listened to dear Elliott for a few weeks...overdue.."
sadness,at work and tired just want to go to bed
happiness,@ZooeyDe : It's very nice to be able following you on Twitter
sadness,Its raning!!! -_- really bad
sadness,It's not gonna happen again
happiness,Averaged $31 per hour at work today! Gotta love holidays
sadness,Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.
happiness,Feeling like Romeo and Juliet with Bryant and Wallinwood as the Montagues and Capulets...   #fb
happiness,Oh oh! Going shopping with my best friend today! Yaay! Going to be so much fun  Need to get alot of new clothes..
happiness,@dahntay OMG that dunk on Dampier was MASSIVE! Big ups!!! Love it...
happiness,@allyycase suuure
happiness,Sitting outside with my laptop  Its kinda nice
happiness,"Watching Twilight again  !!! &lt;3 I'm watching the Audio Commentary, it's sooo funny ;)"
happiness,"@GirlUSoCrazy lol girl I cannot stop!!! I am a student, I can't afford $14 a pop eyeshadows. But I am so hooked"
happiness,I'm still pumped from the concert saturday. 17/7/09 here i come
sadness,Wrong button  ... My music biz building that is.
happiness,happiest girl in the world.  best weekend ever and I can't wait for next weekend either!!!  so grateful for all my blessings!
happiness,what a beautiful morning! nice to be out
sadness,@hammett I wish I could have time for my xbox  project all tied
sadness,"Sad news, after a week in the hospital, My uncle past away today. R.I.P. Uncle Tony"
happiness,@vewe haha. Hope U have a Great Laugh as Laughter is the Best Medicine
sadness,3rd day of pain
sadness,I sure do wish my mind could enter that box called &quot;nothing&quot; that men have.  My brain just won't go there... and it's exhausting.
sadness,is way too sleepy to be awake
happiness,"Nighty night, ya'll!    Tweet Dreams!"
happiness,@Sadie_marie better than Hudgens.  OMG our song came on on shuffle. What Would You Do - City High.
happiness,everyone get #buckonellen one of the topic things!
happiness,2am feedings for the baby are fun when he is all smiles and coos
sadness,@brran1 Hey you! Did you ever pre-order your Sims 3? I'm so sad Im too poor to get it right now
happiness,"@Paula_Deen   looks like a delicious recipe, will try that tonite"
happiness,@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!
sadness,"is confused &amp; sad. oh no here comes the &quot;sweets&quot;, to cheer me up"
happiness,@djnvs LoL! there u go..that's the spirit haha
happiness,@DoperahStyles chillin promoting muzik...not eating  lmaao
sadness,being far too vigorous with pruning and regretting the removal of too many cucumber flowers off cucumber plant.
sadness,have to put my dog down tomorrow.
sadness,"@Maestro so I wanted to DM you back but I couldn't cuz your not following me  but thankss anyways, maybe ill see ya around in ELLE-AY  ..."
sadness,"It's patio weather in Kirkland!  It's also launch-yer-boat weather, except I'm missing the boat part"
sadness,@mitchelmusso http://twitpic.com/67swx - i wish i was calling you but i can't from Malta
happiness,It's raining that fine rain!!! U know the fine rain that wets you the most
sadness,i never get any followfridays
happiness,"Mooorning! It's Friday, and that's terrific! Smile up!    :-|      :-D"
sadness,heading to graduation  I do NOT like this....oh and Nick....I'll be looking for you....
happiness,@ckanal funny you should say...am filling it out as we speak ;) cheers!
sadness,missing ontario..
happiness,headed to the beach with puppy maverick hugs and much aloha
sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
happiness,"Sayin' good morning to everybody in the Office . . . Must say &quot;Good Morning to you&quot; too!    Greets from Charlotte, NC, USA."
happiness,Just had some babi pangang. Now off to friends. Tomorrow it's working time again
sadness,@Mitchelmusso: Am sad i got no money on my phone. Ahh well  lly Mitchel xx
sadness,sweaty and tired from the 6 lap run.  gonna do sun run next year no matter what.
sadness,Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad
sadness,going to the memorial for the guy in my grade that died.
sadness,I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!
happiness,"(@CoxRocks) Ha, the lead singer gave me a high five and i got one of their guitar pics!"
sadness,not feelin so hot
